study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
5.49,87.57,45.18,7,8.0,1,41.29
5.78,55.95,82.79,5,8.27,1,40.13
1.94,54.3,50.64,2,4.77,1,19.69
4.59,58.81,44.21,9,6.91,1,30.92
9.26,58.77,49.78,2,5.43,0,21.41
6.68,91.16,85.52,7,7.7,0,48.41
2.6,69.93,54.81,4,5.19,1,31.61
4.05,99.52,76.16,3,7.36,1,42.78
2.72,56.86,86.38,2,5.28,1,33.9
1.22,82.68,39.66,10,6.56,1,32.92
9.35,72.44,80.9,5,8.74,0,35.13
5.03,69.65,53.46,5,5.91,0,24.44
3.77,93.75,48.0,8,8.38,1,46.79
6.39,98.78,76.33,2,8.93,1,48.26
1.07,93.64,89.59,7,8.37,0,44.5
3.5,59.62,52.7,6,4.83,0,18.39
7.33,61.04,69.13,6,8.1,1,36.37
6.7,82.8,52.39,3,4.16,1,37.03
9.84,64.45,68.26,10,5.97,1,38.77
6.58,86.74,72.31,4,8.35,0,46.06
